--------------------------------	
Land-atmosphere d13C fractionation	
Using CO2 from CMIP6-Meinshausen and SSP3-Baseline
	
frac is following schubert & jahren 2015, shifted 
to be -17 per mil in 1850
	
HDG 13 Nov 18
--------------------------------	
2441.50000000000	-22.9765137653875
2442.50000000000	-22.9757014089786
2443.50000000000	-22.9749033803958
2444.50000000000	-22.9741048067220
2445.50000000000	-22.9733056858902
2446.50000000000	-22.9725062044832
2447.50000000000	-22.9717059923059
2448.50000000000	-22.9709052312870
2449.50000000000	-22.9701039238864
2450.50000000000	-22.9693174014013
2451.50000000000	-22.9685150055143
2452.50000000000	-22.9677120615696
2453.50000000000	-22.9669237471850
2454.50000000000	-22.9661197112913
2455.50000000000	-22.9653305112354
2456.50000000000	-22.9645405933598
2457.50000000000	-22.9637349245103
2458.50000000000	-22.9629439324368
2459.50000000000	-22.9621524090951
2460.50000000000	-22.9613603509024
2461.50000000000	-22.9605679463757
2462.50000000000	-22.9597748200326
2463.50000000000	-22.9589811602671
2464.50000000000	-22.9581869634855
2465.50000000000	-22.9574075352816
2466.50000000000	-22.9566122762269
2467.50000000000	-22.9558166683564
2468.50000000000	-22.9550356685799
2469.50000000000	-22.9542388070583
2470.50000000000	-22.9534567627908
2471.50000000000	-22.9526588336434
2472.50000000000	-22.9518757397151
2473.50000000000	-22.9510921260357
2474.50000000000	-22.9503079936255
2475.50000000000	-22.9495079332064
2476.50000000000	-22.9487227469293
2477.50000000000	-22.9479372283697
2478.50000000000	-22.9471664344501
2479.50000000000	-22.9463796914970
2480.50000000000	-22.9455924251550
2481.50000000000	-22.9448046349018
2482.50000000000	-22.9440163217603
2483.50000000000	-22.9432429697772
2484.50000000000	-22.9424536149682
2485.50000000000	-22.9416792422681
2486.50000000000	-22.9408888452768
2487.50000000000	-22.9401134498377
2488.50000000000	-22.9393375473473
2489.50000000000	-22.9385455883932
2490.50000000000	-22.9377686601305
2491.50000000000	-22.9369912233119
2492.50000000000	-22.9362132774379
2493.50000000000	-22.9354348220083
2494.50000000000	-22.9346558565223
2495.50000000000	-22.9338763804786
2496.50000000000	-22.9331120137333
2497.50000000000	-22.9323315253133
2498.50000000000	-22.9315505248372
2499.50000000000	-22.9307846627233
2500.50000000000	-22.9303937189744
